,bigrams,counts
693,"('take', 'order')",3
694,"('asked', 'woman')",3
695,"('subways', ""i've"")",3
696,"('friendly', 'make')",3
697,"('proceeded', 'make')",3
698,"('make', 'sandwiches')",3
699,"('front', 'customers')",3
700,"('subway', 'right')",3
701,"('even', 'think')",3
702,"('ask', 'wanted')",3
703,"(""i'm"", 'giving')",3
704,"('menu', 'item')",3
705,"('star', 'review')",3
706,"('2', 'stars')",3
707,"('subway', 'restaurant')",3
708,"('convenience', 'store')",3
709,"('subway', 'time')",3
710,"('thought', 'would')",3
711,"('small', 'business')",3
712,"('food', 'prep')",3
713,"('two', 'stars')",3
714,"('still', 'waiting')",3
715,"('steak', 'sandwich')",3
716,"('watched', 'employee')",3
717,"('me', 'i')",3
718,"('good', 'could')",3
719,"('good', '**')",3
720,"('sandwich', 'also')",3
721,"('3', 'people')",3
722,"('last', 'two')",3
723,"('two', 'times')",3
724,"('go', 'today')",3
725,"('year', 'old')",3
726,"('zero', 'stars')",3
727,"('place', 'needs')",3
728,"(""can't"", 'say')",3
729,"('order', 'guy')",3
730,"('say', 'people')",3
731,"('jalapeño', 'chips')",3
732,"('needless', 'say')",3
733,"('one', 'star')",3
734,"('staff', 'quick')",3
735,"('subway', 'staff')",3
736,"('every', 'week')",3
737,"('asked', 'would')",3
738,"('60', 'cents')",3
739,"('subs', 'get')",3
740,"('without', 'asking')",3
741,"('person', 'front')",3
742,"('subway', 'close')",3
743,"('subway', 'far')",3
744,"('walking', 'around')",3
745,"('last', 'visit')",3
746,"(""mike's"", 'subs')",3
747,"('diet', 'half')",3
748,"('never', 'going')",3
749,"('italian', 'subs')",3
750,"('pay', 'extra')",3
751,"('30', 'seconds')",3
752,"('service', ""i've"")",3
753,"('time', 'asked')",3
754,"('rolled', 'eyes')",3
755,"('hard', 'find')",3
756,"('time', 'bad')",3
757,"('sandwich', 'toasted')",3
758,"('went', 'inside')",3
759,"('came', 'behind')",3
760,"('roasted', 'chicken')",3
761,"('miles', 'away')",3
762,"('need', 'get')",3
763,"('seems', 'like')",3
764,"('kids', 'working')",3
765,"('never', 'return')",3
766,"('time', 'make')",3
767,"('get', 'right')",3
768,"('time', 'visited')",3
769,"('said', 'gave')",3
770,"('i', 'know')",3
771,"('subway', 'get')",3
772,"('every', 'single')",3
773,"('single', 'time')",3
774,"(""i'd"", 'like')",3
775,"('care', 'less')",3
776,"('last', 'review')",3
777,"('open', 'till')",3
778,"('told', 'wanted')",3
779,"('ice', 'tea')",3
780,"('standard', 'subway')",3
781,"('decided', 'go')",3
782,"('clean', 'great')",3
783,"('service', 'also')",3
784,"('experience', 'food')",3
785,"('one', 'better')",3
786,"('ask', 'question')",3
787,"('i', 'also')",3
788,"('called', 'back')",3
789,"('back', 'staff')",3
790,"('place', 'take')",3
791,"('poor', 'customer')",3
792,"('sandwich', 'options')",3
793,"('love', 'fresh')",3
794,"('water', 'cups')",3
795,"('stopped', 'subway')",3
796,"('great', 'experience')",3
797,"('sandwich', 'today')",3
798,"('well', 'maintained')",3
799,"('good', 'amount')",3
800,"('put', 'sandwich')",3
801,"('hot', 'crab')",3
802,"('somewhere', 'else')",3
803,"(""that's"", 'fine')",2
804,"('everyone', 'else')",2
805,"('rolling', 'eyes')",2
806,"('greasy', 'fast')",2
807,"('never', 'issues')",2
808,"('keep', 'coming')",2
809,"('artist', 'made')",2
810,"('go', 'eat')",2
811,"('eat', 'every')",2
812,"('anything', 'different')",2
813,"('better', 'cheaper')",2
814,"(""john's"", 'sandwich')",2
815,"('sandwiches', 'tasty')",2
816,"('prices', 'reasonable')",2
817,"('chips', 'soda')",2
818,"(""what's"", 'difference')",2
819,"('difference', 'ask')",2
820,"(""i'm"", 'sorry')",2
821,"('sorry', ""can't"")",2
822,"('sweet', 'girl')",2
823,"('especially', 'one')",2
824,"('thing', 'would')",2
825,"('know', 'end')",2
826,"('team', 'members')",2
827,"('mess', 'every')",2
828,"(""i'll"", 'never')",2
829,"('consistent', 'quality')",2
830,"('deliver', 'office')",2
831,"('shop', '-')",2
832,"('piled', 'high')",2
833,"('shredded', 'lettuce')",2
834,"(""(mike's"", 'way)')",2
835,"('got', 'great')",2
836,"('whatever', 'want')",2
837,"('want', 'call')",2
838,"('chopped', 'salad')",2
839,"('salad', 'instead')",2
840,"('one', 'gotten')",2
841,"('favor', 'avoid')",2
842,"('subway', 'food')",2
843,"('review', 'place')",2
844,"('go', 'even')",2
845,"('sandwiches', 'taste')",2
846,"('finish', 'sandwiches')",2
847,"('pork', 'sandwich')",2
848,"('sandwiches', 'good')",2
849,"('subway', 'good')",2
850,"('older', 'lady')",2
851,"('onion', 'sub')",2
852,"('store', 'number')",2
853,"('fan', 'subway')",2
854,"('ingredients', 'particular')",2
855,"('location', 'big')",2
856,"('drive', 'way')",2
857,"('nicest', 'people')",2
858,"('people', 'ever')",2
859,"('husband', 'ordered')",2
860,"('stopped', 'gas')",2
861,"('sandwiches', 'order')",2
862,"('order', 'arrive')",2
863,"('call', 'great')",2
864,"('people', 'like')",2
865,"('sure', 'make')",2
866,"('quality', 'great')",2
867,"('45', 'minutes')",2
868,"('time', 'get')",2
869,"('orders', 'right')",2
870,"('last', 'month')",2
871,"('deal', 'considering')",2
872,"('hits', 'spot')",2
873,"('place', 'dirty')",2
874,"('eating', 'subway')",2
875,"('sandwich', 'taste')",2
876,"('threw', 'away')",2
877,"('wait', 'till')",2
878,"('closer', 'home')",2
879,"('home', 'go')",2
880,"('go', 'location')",2
881,"('came', 'back')",2
882,"('subway', 'es')",2
883,"('exactly', 'wanted')",2
884,"('lunch', 'delivery')",2
885,"('delivery', 'location')",2
886,"('sandwich', 'online')",2
887,"('ordering', 'process')",2
888,"('fairly', 'simple')",2
889,"('ordered', 'ham')",2
890,"('whole', 'wheat')",2
891,"('crazy', 'fast')",2
892,"('crazy', 'good')",2
893,"('sandwich', 'delivery')",2
894,"('work', 'nice')",2
895,"('nice', 'helpful')",2
896,"('often', 'get')",2
897,"('time', 'never')",2
898,"('location', 'clean')",2
899,"('clean', 'close')",2
900,"('coke', 'machine')",2
901,"('ingredients', 'make')",2
902,"('recently', 'closed')",2
903,"('area', 'work')",2
904,"('subway', 'people')",2
905,"('look', 'like')",2
906,"('night', 'give')",2
907,"('cannot', 'get')",2
908,"('strip', 'center')",2
909,"('great', 'clips')",2
910,"('62nd', '&')",2
911,"('&', 'allisonville')",2
912,"('place', 'one')",2
913,"('one', 'never')",2
914,"('new', 'restaurant')",2
915,"('wheelchair', 'friendly')",2
916,"('easy', 'access')",2
917,"('fountain', 'drinks')",2
918,"('young', 'adults')",2
919,"('location', 'carry')",2
920,"('iced', 'tea')",2
921,"(""that's"", 'definitely')",2
922,"('the', 'best')",2
923,"('see', 'got')",2
924,"('call', 'manager')",2
925,"('gave', 'tried')",2
926,"('start', 'saying')",2
927,"('love', 'quiznos')",2
928,"('service', 'fine')",2
929,"('want', 'good')",2
930,"('subway', ""there's"")",2
931,"('bit', 'problem')",2
932,"('get', 'craving')",2
933,"('near', 'house')",2
934,"('way', 'home')",2
935,"('3', 'hours')",2
936,"('craving', 'sub')",2
937,"('give', 'money')",2
938,"('along', 'quality')",2
939,"('bread', 'one')",2
940,"('thing', 'location')",2
941,"('location', 'going')",2
942,"('downtown', 'nashville')",2
943,"('online', 'delivery')",2
944,"('ever', 'subway')",2
945,"('subway', 'quiznos')",2
946,"('poor', 'service')",2
947,"(""i've"", 'location')",2
948,"('rude', 'customer')",2
949,"('entire', 'time')",2
950,"('location', 'think')",2
951,"('think', ""i'll"")",2
