,bigrams,counts
993,"('was', 'nice')",7
994,"('no', 'complaints')",7
995,"('an', 'extra')",7
996,"('has', 'always')",7
997,"('paid', 'for')",7
998,"('extra', 'for')",7
999,"('have', 'never')",7
1000,"('beach', 'club')",7
1001,"('to', 'let')",7
1002,"('out', 'to')",7
1003,"('we', 'wanted')",7
1004,"('lunch', 'and')",7
1005,"('to', 'not')",7
1006,"('the', 'road')",7
1007,"('love', 'jimmy')",7
1008,"('for', 'that')",7
1009,"('called', 'to')",7
1010,"('about', 'how')",7
1011,"('and', 'since')",7
1012,"('place', 'i')",7
1013,"('or', 'two')",7
1014,"('employees', 'working')",7
1015,"('about', 'this')",7
1016,"('a', 'footlong')",7
1017,"('none', 'of')",7
1018,"('the', 'right')",7
1019,"('and', 'quick')",7
1020,"('a', 'customer')",7
1021,"('another', 'sandwich')",7
1022,"('again', 'i')",7
